"","gene_id","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam","refseq","symbol","product"
"1","BLLJ_RS00005",574.353424735687,603.525059186256,544.001205651496,579.154762536618,377.529841518668,1421.62184934622,1332.47101223596,920.177229698969,955.264133388001,663.152276017272,694.3890690433,808.585067899196,739.123184145981,644.98805008163,747.636752355567,"WP_013139947.1","dnaA","chromosomal replication initiator protein DnaA"
"2","BLLJ_RS00010",706.25087091716,861.809677953555,803.112350992184,808.497471616746,729.967065172047,1739.38682236063,1765.25947869919,1522.14339097781,1588.08549385284,2019.21366095003,927.995268196756,1091.75027520913,916.204780347622,967.482075122446,1308.6595918009,"WP_007051765.1","dnaN","DNA polymerase III subunit beta"
"3","BLLJ_RS00015",71.9440615535307,72.3196932548438,79.9807361893451,63.7778881992493,71.8561329778734,185.428936871247,195.225232154607,137.823902245661,86.6427859215294,131.071763956405,102.872454673082,110.699146200485,89.8239980732963,104.397104260007,133.464380752258,"WP_015512556.1","WP_015512556.1","DNA replication/repair protein RecF"
"4","BLLJ_RS00020",40.7683015470007,29.2722567936272,29.7449018885994,32.2110546460855,47.9040886519156,63.3945083320501,52.922502692514,48.6437302043508,46.0632532747371,55.9711856894919,46.0782869889844,56.9539085524235,38.4959991742698,45.4799266083201,30.7086185801655,"WP_012576465.1","WP_012576465.1","DUF721 domain-containing protein"
"5","BLLJ_RS00025",504.807498567274,532.927263389861,486.494395333537,488.963809527578,464.213430507849,572.927869050903,645.654532848671,354.693866073391,485.857647635918,502.323679162656,462.926046028867,437.983578445398,433.721590696774,500.279192691521,486.61349442416,"WP_003827872.1","gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B"
"6","BLLJ_RS00030",339.336156994153,347.82328660663,335.7868924313,294.409039465222,298.830267304807,361.348697492686,448.077189463286,243.218651021754,280.766496150779,343.620570372197,328.977537339959,275.945697775122,272.03839416484,293.552253562793,336.613703667198,"WP_007056554.1","gyrA","DNA gyrase subunit A"
"7","BLLJ_RS00035",880.115686338193,930.685576291501,1041.07156610098,985.014051077295,1040.20306787017,1906.58983808641,2005.17482423859,2294.36260797188,2008.13849395342,1946.94706676866,1108.02206387465,1242.55780771414,1269.08477277843,1101.85458555612,1103.14806745671,"WP_013139952.1","WP_013139952.1","DUF3566 domain-containing protein"
"8","BLLJ_RS00040",26.3794892362946,23.2456156890569,16.5249454936663,22.5477382522599,17.1086030899699,19.018352499615,14.1126673846704,8.1072883673918,13.1609295070678,13.4614244063335,28.9328778768042,15.241186795719,20.5311995596106,15.5045204346546,4.72440285848699,"WP_015512554.1","WP_015512554.1","hypothetical protein"
"9","BLLJ_RS00045",53.958046165148,62.8492572333761,68.743773253652,58.6241194558756,69.5749858992108,41.2064304158326,23.521112307784,22.2950430103274,32.9023237676694,31.1738249409829,63.2236961011647,55.3495731002426,62.8767986513074,57.8835429560438,56.6928343018439,"WP_015713190.1","WP_015713190.1","pectinesterase family protein"
"10","BLLJ_RS00050",382.502593926272,460.607570135017,464.681467281897,511.511547779838,427.715077249247,393.045951658711,465.718023694124,332.398823063064,308.185099290503,512.242623462059,510.075921087363,531.035034671893,572.307187724145,505.447366169739,762.991061645649,"WP_012576471.1","gdhA","NADP-specific glutamate dehydrogenase"
